Id,Paso,Instruccion
[74133],1,"Lavar y desinfectar los vegetales para empezar a preparar los tacos, así como los instrumentos de cocina. En una tabla, pica finamente la cebolla blanca y ralla el ajo. Reserva estos ingredientes."
[74133],2,"Trocea las aceitunas con pimiento, pica el perejil y reserva. Corta la papa en cubos muy pequeños y cuécelo en una olla con agua hirviendo."
[74133],3,"Mientras hierven las papas, calienta el aceite en una sartén amplia y sofríe la cebolla y el ajo hasta que estén transparentes. Acto seguido, añade la carne molida, separándola todo lo que sea posible."
[74133],4,"Sofríe la carne hasta que adquiera un buen color. En este punto, agrega las aceitunas troceadas y deja que se cocine todo junto durante 5 minutos. Las aceitunas aportan a los tacos de carne molida un sabor increíble."
[74133],5,"Pasados los 5 minutos, incorpora el puré de tomate y revuelve muy bien la carne para que el tomate se integre bien al guiso. También puedes hacer tu propia salsa de tomate triturando tomates naturales sin piel."
[74133],6,Agrega las especias a la carne y salpimienta al gusto para que tus tacos de carne molida tengan el punto justo.
[74133],7,"Para este punto, las patatas ya deben estar cocidas, de manera que escúrrelas y agrégalas al guiso. Cocina todo junto durante 5 minutos para integrar los ingredientes."
[74133],8,"Prepara dos onzas de tequila blanco en un vaso y ten a mano un encendedor o cerillas. Agrega el tequila a la carne y flamea. Recuerda que flamear es peligroso, así que asegúrate de tener la campana de tu cocina apagada y tomar las precauciones necesarias. Si prefieres no flamear, puedes añadir el tequila y dejarlo cocer 5 minutos. Este paso lo puedes omitir si así lo deseas."
[74133],9,"Reduce la temperatura y tapa la sartén. Mientras se acaba de cocinar el relleno, prepara la salsa que acompañará a los tacos de carne molida, y que se conoce como ""pico de gallo"". Para ello, corta la cebolla y el tomate en cubos pequeños, corta el chile serrano por la mitad, retira las venas y las semillas y pícalo en cubos pequeños. Corta finamente un poco de cilantro y agrega todos los ingredientes en un tazón. Mezcla todo, añadiendo el aceite de oliva y el jugo de un limón."
[74133],10,"Es una sartén o comal, fríe las tortillas con apenas un poco de aceite de oliva o materia grasa. Si quieres, puedes hacer tus propias tortillas siguiendo la Receta de tortillas de maíz."
[74133],11,"Ya solo queda montar los tacos de carne molida. Así pues, en un plato, sirve tres tortillas y ponles la carne que has preparado. Coloca un poco de lechuga cortada en juliana fina en un bol, un poco de crema agria en otro recipiente y, por último, la salsa hecha con verduras picadas."
[74154],1,"Coloca la cebolla en una sartén caliente, agrega una pizca de sal y sofríela. Cuando la cebolla se torne transparente, agrega el chorizo y deja que se dore moviendo constantemente."
[74154],2,"Aparte, pon en el comal caliente las tortillas de harina y déjalas durante 5 segundos por lado para que se calienten antes de rellenarlas. Si quieres, puedes hacer tus propias tortillas siguiendo la Receta de tortillas de harina."
[74154],3,"Coloca las tortillas en una superficie y empieza a rellenarlas para formar los burritos norteños. Para ello, unta una cucharada generosa de frijoles molidos por toda la superficie."
[74154],4,"Añade el queso de hebra pero únicamente en un lado de la tortilla, tal y como se observa en la imagen."
[74154],5,"Toma el chorizo ya dorado con la cebolla y esparce una cucharada generosa sobre el queso. Finalmente, agrega la lechuga ya limpia, desinfectada y rebanada."
[74154],6,"Envolvemos los ingredientes con la tortilla de maíz formando una especie de taco, cuidando que las orillas queden selladas para que el relleno no se salga. Una vez cerrados los burritos norteños, colócalos en el comal para dorar la tortilla y gratinar el queso."
[74154],7,"¡Y listo!, ya puedes probar esta deliciosa preparación. Verás que la receta de burritos norteños mexicanos tiene muchísimo sabor y es muy fácil y rápida de hacer. Puedes servirlos con guacamole casero por encima, crema agria o una ensalada fresca."
[74146],1,"Nuestras sabias abuelas eran expertas en la cocina de aprovechamiento, una forma magistral de evitar tirar comida. Por ello, para esta receta de croquetas caseras de pollo puedes utilizar el pollo sobrante de algún cocido o puchero. Dicho esto, pica finamente la cebolla y trocea la pechuga de pollo ya cocida."
[74146],2,"Pon a calentar la mantequilla en una sartén y, una vez derretida, sofríe la cebolla removiendo de vez en cuando durante 3 minutos a fuego medio bajo. No dejes que se dore demasiado."
[74146],3,"Agrega sal, pimienta y nuez moscada y sigue removiendo para dejar que se sofría durante 2 minutos más. Eso sí, no dejes que se pegue la cebolla, es preferible que se haga lentamente para que suelte toda su agua y quede tierna pero no seca."
[74146],4,Incorpora al sofrito 3 cucharadas de harina y mezcla. Este paso es muy importante para que se vaya integrando y la harina no tenga sabor a crudo. Sigue cocinando la masa de las croquetas de pollo a temperatura baja durante 2 minutos.
[74146],5,"Vierte lentamente la leche mientras remueves para evitar que se formen grumos. Si la bechamel precisa más leche puedes agregarla, para ello intenta que la leche esté a temperatura ambiente o tibia."
[74146],6,"Intenta que la consistencia de la bechamel sea similar a la de una papilla. Pasados unos 3 minutos y cuando la bechamel burbujee, añade la pechuga de pollo y remueve. Cuando esté bien integrado todo retira la sartén del fuego y prueba de sal por si precisa un punto más."
[74146],7,"Deja en un recipiente la masa de las croquetas y tápalo con un paño o papel film. Es recomendable dejar que se enfríe para que después al formar las croquetas queden enteras y no se deshagan al freírlas. Una vez pasado este tiempo, forma las croquetas con las manos y pásalas por huevo batido y pan rallado."
[74146],8,"Las croquetas caseras de la abuela siempre se han cocinado fritas, de manera que pon a calentar medio litro de aceite de girasol y, cuando esté muy caliente, fríe las croquetas por tandas para que queden sueltas y no se peguen. Voltea hasta que estén doradas por ambas partes."
[74146],9,"Nada más bueno que unas croquetas calentitas recién hechas, y más si las preparaste con tus propias manos y todo el amor del mundo. Como esta es una receta tradicional, te recomendamos servir las croquetas de pollo caseras de la abuela con un poco de salsa mayonesa, que es otro de los clásicos de la cocina de todo el mundo."
[74081],1,"Mezcla la harina, la sal y el polvo de hornear con un tenedor. Agrega la mantequilla a temperatura ambiente y aplana con un tenedor hasta que queden grumitos, luego vierte poco a poco la leche o agua caliente mientras amasas bien hasta tener una mezcla homogénea."
[74081],2,"En una superficie plana, estira la masa con ayuda de un rodillo y corta círculos medianos, pueden ser de unos 8 a 10 centímetros de diámetro."
[74081],3,"Precalienta el aceite en una sartén. Coloca 2 cucharadas de relleno en cada empanada desde el centro hacia uno de los bordes, dejando el espacio suficiente en los bordes para poder sellar las empanadas. Recuerda que puedes rellenar la masa para empanadas fritas de lo que más te guste. Para ayudarte, puedes consultar estas recetas:"
[74081],4,"Para cerrar y sellar las empanadas, moja con los dedos o un pincel los bordes de la masa, ciérrala y usa un tenedor para sellar bien los bordes."
[74081],5,"Fríe las empanadas de dos en dos durante 2-3 minutos por lado. Si tu sartén es más grande, puedes añadir más empanadas fritas."
[74081],6,Sabrás que puedes voltear la empanada cuando veas los bordes doraditos.
[74081],7,"Al sacarlas del aceite, déjalas reposar en una plato con papel absorbente durante unos 5 minutos y, ¡ya estarán listas para comer! Como ves, esta masa para empanadas fritas queda muy crujiente y sabrosa, y se puede emplear para hacer empanadas argentinas o empanadas chilenas."
[74068],1,"Precalienta el horno a 200 ºC. Forra una bandeja para horno con papel anti-adherente. Para hacer el hummus de zanahoria asada, pela las zanahorias y córtalas en bastones de un tamaño similar para que su cocción sea uniforme. Coloca los bastones de zanahorias en la bandeja sin que queden amontonados. Añade por encima un chorrito de aceite de oliva, un poco de sal y pimentón."
[74068],2,"Hornea durante 30 minutos. Luego de ese tiempo, coloca el ajo cortado por la mitad y cocina 10 minutos más. Saca la zanahoria del horno cuando esté blanda y déjala enfriar."
[74068],3,"Coloca los garbanzos escurridos y lavados, el aceite de oliva, la tahina, el pimentón, el comino, la sal al gusto y el jugo del limón en el procesador junto con las zanahorias y el ajo. Tritura todos los ingredientes hasta tener una pasta homogénea. Comprueba que no hayan quedado grumos y, si es necesario, rectifica con sal o algún otro condimento."
[74068],4,"Sirve el hummus de zanahoria en un bol con un chorrito de aceite de oliva virgen y pimentón. Lo puedes untar en galletas, tostadas, nachos o con lo que más desees."
[74056],1,"Para comenzar a confitar tomates cherry, lava los tomates y sécalos. Si son grandes, pártelos por la mitad."
[74056],2,Pela los dientes de ajos y pártelos en tres partes cada uno. Lava y seca las hierbas aromáticas.
[74056],3,Pon en una olla amplia los tomates cherry sin que queden amontonados. Espolvorea por encima con la sal y el azúcar. Añade los dientes de ajo troceados y los granos de pimienta negra. Pon las hierbas por encima.
[74056],4,"Por último, riega todo con el aceite de oliva. Cubre con una tapadera y cocina a fuego mínimo durante unos 45 minutos."
[74056],5,"Pasado el tiempo, destapa y sube el fuego un punto más, pero aún deberá seguir muy, muy bajo y deja cocer 15 minutos más destapado."
[74056],6,"Retira del fuego y deja enfriar los tomates cherry confitados por completo. Guarda en un bote de cristal con tapa y resérvalo en la nevera. Te durará al menos 1 mes en perfecto estado. Si te sobra el aceite donde estaban guardados, no lo tires, es ideal para aliñar tus ensaladas y tostas."
[74055],1,"Trocea el atún en tacos regulares. Al consumir pescado crudo, siempre es aconsejable que previamente haya sido congelado para evitar posibles intoxicaciones."
[74055],2,Pela el diente de ajo y el jengibre y pica ambos ingredientes.
[74055],3,Exprime la lima o el limón y emulsiona el zumo obtenido con dos cucharadas soperas de aceite de oliva.
[74055],4,Pon el atún en un bol pequeño y coloca encima el ajo y el jengibre picado.
[74055],5,"Añade por encima la emulsión de aceite y zumo de lima y mezcla bien con una cuchara para que el atún quede bien impregnado. Tapa el bol con papel film y resérvalo en la nevera 1 hora. Verás que el pescado va cambiando de color, esto es debido a la acción del limón/lima."
[74055],6,"Pasado el tiempo de marinado, pela la cebolla morada y pícala. Pela igualmente el mango y corta la pulpa en cubos del mismo tamaño."
[74055],7,"Pon el atún marinado en un bol más amplio, añade la cebolla y el mango. Si te gusta el cilantro, agrega unas hojitas picadas a tu gusto y remueve todo bien. Puedes reservarlo de nuevo en la nevera para que siga tomando sabores o servir directamente."
[74055],8,"Cuando vayas a servirlo, espolvorea por encima un poco de semillas de sésamo. ¡Y listo! Ya tienes tu ceviche de atún con mango preparado para comer acompañado de unas tostadas."
[74043],1,"El ingrediente principal de esta saludable y ligera receta será una bolsa de vainas de soja o edamame. Sea que las obtengas frescas o congeladas, podrás comenzar a prepararlas inmediatamente."
[74043],2,"En una cazuela honda, pon agua a hervir y añade un pellizco de sal. En cuanto veas las burbujas de hervor fuerte, vierte el edamame. Debe hervir durante 5 minutos a fuego alto y el agua debe cubrir por completo las vainas. Cuando veas que suben a la superficie sabrás que están listas."
[74043],3,"Cuela y saca el agua para que queden bien escurridas. Deja que se enfríen a temperatura ambiente, aunque también se pueden consumir calientes después de cocerlas."
[74043],4,"Puedes servir las edamame con un poquito de pimentón dulce y unas escamas de sal, te va a encantar lo ricas que quedan y no podrás parar de comerlas cada vez que tengas la oportunidad."
[74020],1,"Corta la cebolla en rodajas muy finas (en forma de ""media luna"", como en la imagen), para poder dorarla sin quemar rápidamente."
[74020],2,Calienta una sartén con un chorrito generoso de aceite de oliva y agrega la mantequilla.
[74020],3,"Cuando esté muy caliente, baja el fuego y agrega la cebolla. Revuelve constantemente."
[74020],4,"Fríe la cebolla lentamente sin dejar de revolver hasta que comience a caramelizarse, como ves en la foto. Este es el punto ideal en el que debería quedar la cebolla."
[74020],5,"Agrega la harina de mandioca sazonada y continúa revolviendo. Deje que la harina de yuca saltee junto con la cebolla caramelizada durante unos minutos. De esta forma, ¡la farofa te quedará más crujiente!"
[74020],6,¡Y este es el resultado de nuestra farofa brasileña! Asegúrate de probarla y contarnos qué te parece.
[73919],1,"Precalienta el horno al máximo durante 10 minutos con el calor en la parte de arriba. Mientras tanto, coloca los pimientos lavados y enteros en una fuente para horno. Cuando esté caliente, mételos a media altura y baja la temperatura a 180 ºC. Ve dándoles la vuelta para que no se quemen y procura que terminen asados por completo. La cocción durará unos 45 minutos dependiendo de cada horno."
[73919],2,Saca los pimientos y mételos en un recipiente u olla tapados para que la piel se desprenda y salga con facilidad. Quítales las semillas.
[73919],3,"Pon todos los ingredientes en un baso mezclador o picadora. Tritúralos hasta obtener un puré espeso. Si te gusta la textura con tropezones, puedes dejar la crema a medio triturar."
[73919],4,"¡Sirve tu muhammara auténtico y acompáñalo de lo que gustes! En este caso, hemos usado unas pequeñas tortas de trigo duro llamadas regañás."
[73914],1,"Pica la cebolla muy pequeña. Aparte, pon una sartén al fuego con los 50 gramos de mantequilla y un chorro de aceite de oliva y pocha la cebolla hasta que coja color."
[73914],2,Pica los boletus en trozos pequeños. Puedes escoger los boletus que más te gusten para hacer estas croquetas.
[73914],3,"Cuando la cebolla esté pochada, añade los boletus picados. Pon el fuego un poco fuerte para que se doren los boletus y no suelten mucha agua. De lo contrario, las croquetas quedarían muy líquidas."
[73914],4,"Una vez dorada la cebolla y los boletus, incorpora los 50 gramos de harina. Remueve todos los ingredientes y deja que se cocine el relleno durante un par de minutos."
[73914],5,"Calienta la leche en un cazo o al microondas, como te sea más cómodo. Así mismo, puedes usar leche entera, desnatada o vegetal para hacer las croquetas de boletus más ligeras."
[73914],6,"Añade la leche poco a poco y mezclando para que se vaya formando una masa que se despegue de la sartén. Puede hacer falta más o menos leche, según lo que pida la masa."
[73914],7,"Coloca la masa de las croquetas de boletus en una fuente, deja que se enfríe e introdúcela en la nevera un par de horas como mínimo."
[73914],8,"Pasado el tiempo de reposo, coloca en un bol los huevos batidos y en otro el pan rallado. Saca la masa de la nevera, coge una porción, forma la croqueta, pásala por el huevo y luego por el pan rallado. Repite esta operación hasta acabar con toda la masa."
[73914],9,"Pon una sartén con abundante aceite a fuego medio y, cuando esté caliente, fríe las croquetas de boletus caseras hasta que queden doradas."
[73914],10,"Sácalas de la sartén y ponlas en un plato con papel de cocina para retirar le exceso de aceite. También puedes cocinar las croquetas de boletus al horno colocándolas en una bandeja y horneándolas durante 15-20 minutos a 180 ºC, dándoles la vuelta a media cocción."
[73914],11,"¡Listas! Sirve la receta de croquetas de boletus acompañada de tu salsa favorita. Como ves, esta receta se presta a múltiples variaciones, ya que puedes hacer las croquetas vegetarianas (sin el jamón), con jamón e, incluso, sustituyendo este ingrediente por otro, como cecina, gamba pelada y picada o foie. En caso de querer hacer las croquetas de boletus y queso, recomendamos cortar trocitos de queso e introducirlos en las croquetas al momento de formarlas, ¡así se fundirá!"
[73878],1,"Casca las nueces con cuidado para intentar que queden lo más enteras posible, pero retirandosus membranas interiores."
[73878],2,"Pon una sartén al fuego, añade el azúcar moreno y, acto seguido, vierte el agua con limón. Ve removiendo para formar un almíbar ligero sin que cristalice. También puedes hacer las nueces caramelizadas con miel calentando en la sartén miel con mantequilla y agua."
[73878],3,"Introduce las nueces y remueve con sumo cuidado para evitar que se rompan. Luego, añade la mantequilla y continúa removiendo para que se integren todos los ingredientes."
[73878],4,"Pasados 3 minutos, extrae las nueces caramelizadas con una rasera o utensilio similar y deposítalas sobre papel de horno, separándolas entre sí para evitar que se peguen unas con otras."
[73878],5,"Una vez que las nueces caramelizadas caseras estén frías, ya podrás consumirlas. Comprobarás que algo tan sencillo y tan rápido de hacer no pasará desapercibido, de manera que esta es una excelente idea para tu menú de Navidad. Puedes acompañarlas con algún tipo de queso curado y algunas uvas o mezclaras con yogur natural. Así mismo, puedes servir las nueces caramelizadas con nata montada y preparar, así, un sencillo y rápido postre."
[73817],1,"Sofríe la cebolla, el ajo y el jitomate picados en una sartén con una cucharada de aceite caliente. Deberás saltear estos ingredientes hasta que la cebolla se observe transparente."
[73817],2,"Añade toda la flor de calabaza lavada y mueve constantemente para integrar todos los ingredientes de la preparación. Además, agrega una pizca de sal y la cucharada de consomé de pollo en polvo. Cuando observes que las flores de calabaza están suaves e integradas al guiso, retira la sartén del fuego y reserva."
[73817],3,"Aparte, forma las tortillas para hacer las quesadillas. Para ello, toma la masa de maíz y dale forma redondeada y plana con ayuda de una máquina para hacer tortillas. Si no tienes una máquina para hacer tortillas, puedes darle forma de tortilla a la masa con la ayuda de dos platos con bases lisas."
[73817],4,Rellena las quesadillas de flor de calabaza tomando un poco de guiso y colocándolo en una de las mitades de la tortilla. Distribuye también algunas hebras de queso. Ciérralas con ayuda de la máquina o con tus manos y sella bien los bordes.
[73817],5,"Cocina las quesadillas de flor de calabaza fritas en una sartén con aceite caliente y a fuego alto. Deben quedar doradas por ambos lados. Si has decidido cocinar las tortillas y rellenarlas después, te recomendamos hacerlo cuando aún estén calientes o pasarlas unos segundos por la sartén para que el queso se funda."
[73817],6,"Reserva las quesadillas sobre papel absorbente para retirar el exceso de grasa y listo. Se pueden servir acompañadas de algún tipo de ensalada o simplemente con la salsa del gusto del comensal. Aunque si las prefieres simples, están deliciosas también. Ya has visto que hacer quesadillas de flor de calabaza con queso es muy sencillo y que se trata de una receta mexicana que se presta a variaciones, ¡así que anímate a experimentar!"
[73818],1,"Toma la carne de cerdo, el tocino y el chorizo o longaniza y pícalo todo finamente o córtalo en cubos pequeños."
[73818],2,"Fríe primero la longaniza o el chorizo, mueve constantemente hasta que la carne esté medianamente dorada."
[73818],3,"Una vez dorada la longaniza, agrega el bistec troceado y sigue moviendo constantemente durante aproximadamente 5 minutos más. Es muy importante cocinar adecuadamente cada pieza de carne para que los tacos campechanos queden jugosos y deliciosos."
[73818],4,Añade el tocino y sigue moviendo durante 5 minutos más.
[73818],5,"Incorpora la cebolla cortada en rebanadas finas, mueve para integrarla con los demás ingredientes y mantén la preparación al fuego hasta que la cebolla esté bien sofrita. Para saber Cómo cortar cebolla, no te pierdas este artículo."
[73818],6,"Cuando el guiso de carnes esté listo, toma las tortillas de maíz, agrega una porción del guiso, adereza con cilantro y sírvelas. Es típico servir la receta de tacos campechanos con salsa roja taquera, pero puedes preparar cualquier otra que te guste, como salsa de tomate verde."
[73816],1,"Toma los chiles anchos, ya limpios, y se colócalos en una plancha caliente para cocinarlos hasta que se asen perfectamente por los dos lados."
[73816],2,"Colócalos en un recipiente con agua caliente y deja que reposen durante aproximadamente 20 minutos. Pasado este tiempo, retira del agua y reserva un momento para seguir con la preparación de las enchiladas potosinas."
[73816],3,"Mientras tanto, derrite la mantequilla en una sartén caliente a fuego medio y añade la cebolla finamente piada para sofreírla. Agrega una pizca de sal. Una vez que esté transparente la cebolla, retírala del fuego y resérvala un momento."
[73816],4,"Pasado el tiempo de reposo de los chiles, tritúralos con el ajo, un trozo de cebolla y una pizca de sal. Toma una cucharada de esta salsa y añádela a la cebolla sofrita, agregando también el queso fresco, y mezcla perfectamente estos ingredientes."
[73816],5,"Por otro lado, toma el resto de la salsa y agrégala a la masa de maíz para mezclarla perfectamente hasta obtener una masa rojiza."
[73816],6,"Si tienes a mano una máquina para hacer tortilla, coloca en ella una bolita de masa y aplástala con fuerza media para formar la tortilla. Si no tienes una maquina para hacer tortilla, puedes usar dos platos con bases lisas para colocar la bola de masa entre ellos y presionar."
[73816],7,Rellena las enchiladas potosinas colocando en un solo lado un poco de la mezcla de cebolla y queso.
[73816],8,Cierra las enchiladas y colócalas en el comal caliente para cocinarlas. Debe estar muy caliente a la hora de añadir la enchilada para que esta tenga una cocción uniforme.
[73816],9,"Para que las enchiladas potosinas adquieran la consistencia dorada, deberás freírlas en una sartén con abundante aceite caliente. Tardarán aproximadamente 15 minutos en estar listas."
[73816],10,"Cuando estén doradas, retíralas del aceite y quita el exceso de grasa con papel absorbente. Las enchiladas potosinas originales se sirven calientes, de manera que ya puedes disfrutarlas."
[73816],11,"Nuestra cocinera mexicana, Paola, también te enseña en este vídeo el paso a paso de las enchiladas potosinas, por lo que puedes revisarlo si te ha quedado alguna duda."
[73815],1,"Coloca el pescado sierra molido en un tazón y añade una pizca de sal y pimienta. Luego, mezcla perfectamente hasta integrar todo."
[73815],2,"Agrega el jugo de los limones y el orégano y mezcla perfectamente todos los ingredientes. Deja que repose durante aproximadamente 5 minutos, que es lo que suele tardar el pescado en cambiar de color al entrar en contacto con el limón y tornarse blancuzco."
[73815],3,Añade la cebolla morada picada y los chiles serranos finamente picados. Mezcla perfectamente para integrar estos ingredientes y seguir con la preparación del ceviche de sierra.
[73815],4,"Incorpora el jitomate, el pepino y el cilantro, todos picados finamente, y mezcla de nuevo. Puedes reservar el ceviche de pescado sierra en el frigorífico hasta el momento de su consumo, preferiblemente tapado."
[73815],5,"¡Listo! Ya podrás disfrutar de este increíble ceviche de pez sierra. Al momento de servir, puedes añadir aguacate cortado en cubos pequeños, ya que le dará un toque extra de sabor. Si te apetece probar otros ceviches exóticos y deliciosos, no te pierdas la Receta de ceviche de jaiba."
[73814],1,"Desmenuza la carne de jaiba una vez descongelada, ya que normalmente la venden congelada."
[73814],2,"Una vez desmenuzada la carne, colócala en un tazón hondo, añade la cebolla morada cortada en medias lunas y mezcla ambos ingredientes perfectamente. Consulta el artículo ""Cómo cortar cebolla"" para hacerlo correctamente."
[73814],3,"Incorpora el cilantro, el perejil y el chile, todo ello bien picado. Nuevamente, mezcla todo perfectamente para seguir con la preparación del ceviche de jaiba."
[73814],4,"Agrega el pimiento picado y mezcla todo de nuevo. Aunque estos son los ingredientes habituales del ceviche de jaiba mexicano, lo cierto es que puedes añadir más a tu antojo. Por ejemplo, puedes hacer ceviche de jaiba y camarón o añadir mango troceado."
[73814],5,"Aparte, disuelve la sal en el jugo de los limones y vierte esta mezcla sobre el ceviche de jaiba, procurando que el limón con sal impregne toda la mezcla."
[73814],6,"Deja reposar el ceviche un par de horas en el frigorífico para que se acaben de asentar los sabores y la carne de jaiba se ""cocine"" con el jugo de limón. Pasado este tiempo, puedes disfrutar de este delicioso platillo agregando el aguacate cortado en trozos pequeños. Es costumbre servir la receta de ceviche de jaiba acompañada de tostadas o tortillas de maíz."
[73006],1,"Coloca los chiles guajillo en una cacerola con agua hirviendo hasta que se suavicen. Una vez suaves, retíralos y ábrelos para desvenarlos y dejarlos bien limpios."
[73006],2,"Prepara la salsa de las enchiladas mineras colocando en la licuadora los chiles, el diente de ajo pelado, el orégano, el comino y una pizca de sal. Tritura hasta conseguir una mezcla homogénea."
[73006],3,"Coge las tortillas y sumérgelas en la salsa hasta que estén completamente cubiertas por la misma. Como sucede con otras enchiladas, como las enchiladas rancheras, las enchiladas mineras se caracterizan por absorber todo el sabor de la salsa que las acompaña, ofreciendo así un platillo exquisito y lleno de sabor."
[73006],4,"Aparte, en una sartén caliente coloca la manteca de cerdo y, una vez derretida, fríe las tortillas hasta dejarlas parcialmente doradas. En este punto, retíralas del fuego y resérvalas un momento."
[73006],5,"Coge las papas y las zanahorias cortadas en cubos, colócalas en la misma sartén donde has cocinado las tortillas y sofríe estos ingredientes durante aproximadamente 5 minutos."
[73006],6,"Toma las tortillas enchiladas y rellénalas con algún tipo de carne que tengas en casa, puede ser pollo, res o cerdo o simplemente queso. Si lo que quieres es hacer las enchiladas mineras tradicionales, lo ideal es utilizar pollo lo tradicional es pollo. Así mismo, recuerda cocinar la carne salteándola antes."
[73006],7,"Una vez rellenas las enchiladas, colócalas en un plato y acompáñalas con la zanahoria y las papas sofritas y un poco de queso ranchero deshebrado. ¡Y listo! Ya puedes disfrutar de esta increíble receta de enchiladas mineras, llenas de historia, tradición y sabor."
[73799],1,Pica finamente el ajo y la cebolla. Sofríelos en una sartén con aceite caliente hasta que la cebolla se torne transparente y el ajo tome color. Añade un pellizco de sal para que la cebolla sude y suelte toda el agua más fácilmente.
[73799],2,"Agrega la carne picada al sofrito, remueve y mezcla. Añade pimienta y tomillo. Deja que todo se cocine durante 4 minutos sin dejar que la carne se seque demasiado. Mientras tanto, coce el arroz con un poco de sal. No es necesario que el arroz esté completamente hecho, pues luego acabará de cocerse del todo."
[73799],3,"Vierte el tomate en la sartén con la carne, remueve y prueba de sal. Déjalo bien revuelto y cuece sin tapar la sartén durante 3 minutos."
[73799],4,Echa el arroz hervido en la sartén y remueve hasta que se integre bien con todos los ingredientes. Cuece por 4 minutos hasta que te quede una pasta maleable.
[73799],5,"Pon una cazuela a hervir con agua y mete en ella las hojas de col o repollo. Déjalas cocer por aproximadamente 3 minutos. No deben quedar demasiado hechas para que no se rompan a la hora de rellenarlas. Saca las hojas y, con cuidado, sécalas con un papel de cocina."
[73799],6,"Corta la parte dura en el centro de las hojas de col, pero solo el trozo grueso. Esto te facilitará la tarea de rellenarlas. Con una cuchara de postre, coge un poco del sofrito y ve rellenando cada hoja. Si tienes una vaporera, deposita en ella cada rollito de sarmale. Si no tienes vaporera, ponlas a cocinar al vapor en una olla con muy poca agua. Déjalas cocer tapadas por 8 minutos."
[73799],7,Deposita una base de tomate frito en el plato donde servirás el sarmale. ¡Coloca los rollitos de carne y disfruta! Puedes disfrutar esta receta típica de Rumania con pan de semillas o galletas saladas.
[73007],1,"Pon a remojo los chiles guajillo y los chiles anchos en agua tibia durante unos minutos. Cuando estén suaves, retíralos y límpialos bien quitando las venas y semillas."
[73007],2,"Coloca los chiles limpios en el procesador o en la licuadora junto con los ajos, la cebolla, la pimienta, los clavos y la canela. Tritura hasta obtener una mezcla homogénea."
[73007],3,Sofríe la salsa en una sartén con aceite caliente y deja que hierva durante aproximadamente 5 minutos. No es necesario colar la salsa antes para hacer las enchiladas rancheras.
[73007],4,"Toma las tortillas y ponlas una a una en la salsa para, después, cocinarlas en otra sartén con aceite ya caliente. De esta forma, absorben la salsa y se fríen así hasta que estén levemente doradas por ambos lados."
[73007],5,"Rellena las enchiladas rancheras con una mezcla de queso fresco con cebolla finamente picada, ciérralas y colócalas en platos para servir."
[73007],6,"Sirve las enchiladas rancheras acompañadas con cebolla en rebanadas muy finas y aguacate. Si quieres, también puedes verter un poco de crema agria. Como ves, la receta de enchiladas rancheras con queso es muy fácil de hacer y queda deliciosa, con ese toque picante y esa mezcla de sabores tan propia de la cocina mexicana."
[73431],1,"Primero, prepara el cochayuyo. Para ello, deja que hierva durante 20 minutos en una olla con agua. Dependiendo de su presentación, puedes leer las instrucciones de preparación en el epaquete. Otro método es dejarlo remojar en agua durante toda la noche, unas 8-12 horas aproximadamente. Cuando esté listo, cuelas el agua y lo lavas bien."
[73431],2,"Lava bien la cebolla y el pimentón y córtalos en cubitos (si prefieres cortes en juliana puedes hacerlo). Remoja el perejil en un poco de agua con vinagre para dejarlo bien limpio y enjuágalo bajo el chorro de agua. A continuación, córtalo muy pequeño también."
[73431],3,"Mezcla los ingredientes en un plato hondo y aderézalos con el jugo de limón, aceite de oliva, pimienta y sal, ¡y listo! Ahora puedes disfrutar de tu rica receta de ceviche de cochayuyo. Sin duda, esta es una opción perfecta para las personas vegetarianas o veganas pero, también, para todas aquellas que quieran cuidar su alimentación, ya que este alga es rica en proteínas vegetales, contiene todos los aminoácidos esenciales y es rica en fibra. Puedes acompañar el ceviche de cochayuyo vegano con tostones de plátano o marraquetas chilenas."
[73360],1,"Corta las salchichas en rodajas y, después, cada rodaja en cuatro pedazos si son de las gruesas, si son salchichas más bien finas simplemente corta las rodajas por la mitad."
[73360],2,"Pica la cebolla morada en trozos no muy pequeños. Para ello, córtala primero en láminas y luego por la mitad. Y si prefieres que el ceviche de salchicha quede más fino, puedes trocear los ingredientes aun más pequeños, ¡a tu gusto!"
[73360],3,"Pica también los demás ingredientes en cuadros pequeños, es decir, el pimiento verde, el pepino, el aguacate y el tomate."
[73360],4,"Introduce en un recipiente todos los ingredientes anteriores y los restantes en este orden: primero el jugo de tomate, luego la sal, el aceite, el kétchup, el ají o pimienta y, por último, el jugo de limón. Remueve bien, tapa con papel film y deja que el ceviche de salchicha macere durante 30 minutos en la nevera."
[73360],5,"¡Listo para servir! Es común degustar la receta de ceviche de salchicha con unas tostadas o unos crackers de semillas. Sin duda, este es un aperitivo o entrante realmente delicioso, fácil y rápido de preparar, perfecto para cuando tenemos invitados. ¡Buen provecho!"
